B013801,B013801,B034501,B034501,B034601,B034601,B034903,B034903,B035002,B035002,B035101,B035101,B035201,B035201,value
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,267.128068861941
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,261.971945276584
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,269.83338649932
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,266.265327549768
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,281.798178417393
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,240.947822086883
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,242.156606405659
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,256.659018141383
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,257.727613961695
11-25 books,11-25 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,252.646555560349
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,266.360891161798
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,263.669936373688
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,268.450568184666
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,271.788895867123
11-25 books,11-25 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,229.111212038339
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,237.376134779935
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,239.867993901891
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,247.783617525697
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,248.289364317414
11-25 books,11-25 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,239.491447202237
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,253.459475423984
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,252.300437417116
11-25 books,11-25 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,247.79850936118
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,259.114126771283
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,259.386972240542
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,< half the time,< half the time,261.759791605299
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,< half the time,< half the time,259.820667994398
11-25 books,11-25 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,243.550463651499
26-100 books,26-100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,262.872449239762
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,263.63873587851
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,< half the time,< half the time,279.809416654603
More than 100 books,More than 100 books,Once/twice a month,Once/twice a month,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,249.28682868842
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,261.739397857578
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,265.453970785718
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,270.36247665058
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,272.573198883891
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,274.754589955095
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,275.177640837286
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,253.275909366065
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,265.606856255407
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,262.052917344743
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,263.625981672868
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,263.825171836555
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,273.218783816915
11-25 books,11-25 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,240.965766084533
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,258.52363225628
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,260.704977653208
11-25 books,11-25 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,244.132709953864
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,255.178751274533
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,263.098770133953
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,262.172486537799
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,270.144988418984
11-25 books,11-25 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,227.148608604034
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,242.447451177641
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,239.145884941488
11-25 books,11-25 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,229.879066454089
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,244.256318622649
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,245.420858157235
11-25 books,11-25 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,239.422575311589
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,248.6805841047
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,259.841913218802
11-25 books,11-25 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,246.537013709979
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,257.21846944657
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,255.243646200922
11-25 books,11-25 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,244.390048268706
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,255.700663271846
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,262.193121824757
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,< half the time,< half the time,263.639791860401
26-100 books,26-100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,237.328931562401
More than 100 books,More than 100 books,Once/twice a week,Once/twice a week,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,238.588871872928
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,262.358527149611
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,262.011666731539
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,265.141576614076
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,267.191738609456
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Quite a bit like me,Quite a bit like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,268.879503713498
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,262.76554661323
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Quite a bit like me,Quite a bit like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,269.24010321387
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,248.607132140406
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,261.774942147369
11-25 books,11-25 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,236.622755212651
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,256.925631037064
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,261.336314984646
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,263.236949177841
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,266.499670297684
11-25 books,11-25 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,219.380081508669
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,239.451042132343
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,228.432403876752
11-25 books,11-25 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,227.565419462208
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,237.867253249155
11-25 books,11-25 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,236.787229954086
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,248.301875954713
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,248.743118222304
11-25 books,11-25 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,235.790524597076
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,249.166548017322
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,258.954201026922
11-25 books,11-25 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,236.501768407361
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,248.449493149404
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,262.729973722702
11-25 books,11-25 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,213.131977261908
26-100 books,26-100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,227.540067882506
More than 100 books,More than 100 books,Almost every day,Almost every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,233.771613069096
26-100 books,26-100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,251.972315047482
More than 100 books,More than 100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,254.47750885462
11-25 books,11-25 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,245.008444431361
26-100 books,26-100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,253.374369404084
More than 100 books,More than 100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,257.09932085729
11-25 books,11-25 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,219.426745779725
26-100 books,26-100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,230.069416263208
More than 100 books,More than 100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,227.266995772618
26-100 books,26-100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,243.226762285518
More than 100 books,More than 100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,241.844172812925
11-25 books,11-25 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,240.952517324145
26-100 books,26-100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,249.830877662506
More than 100 books,More than 100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,253.244042924413
0-10 books,0-10 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,230.79073778566
11-25 books,11-25 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,232.220177124975
26-100 books,26-100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,247.553817110569
More than 100 books,More than 100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,247.426427607079
0-10 books,0-10 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,215.015874816245
11-25 books,11-25 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,205.309522774511
26-100 books,26-100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,224.08823450043
More than 100 books,More than 100 books,Every day,Every day,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Very much like me,Very much like me,All or most of time,All or most of time,221.569867628767
