T122201,T126008,T132801,T132802,T132803,T139901,TNSTUDM,value
21 or more years,Major,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,247.975162785039
3-5 years,Major,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,225.811683792096
6-10 years,Major,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,247.79527037419
11-20 years,Major,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,228.430774215228
21 or more years,Major,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,243.378905041464
21 or more years,Minor/spec emphasis,Somewhat possible,Quite possible,Quite possible,Yes,21-25 students,250.592472694568
21 or more years,Minor/spec emphasis,Somewhat possible,Completely possible,Completely possible,Yes,21-25 students,252.988398732894
11-20 years,Minor/spec emphasis,Quite possible,Quite possible,Quite possible,Yes,21-25 students,249.889539262777
21 or more years,Minor/spec emphasis,Quite possible,Quite possible,Quite possible,Yes,21-25 students,237.628915566345
11-20 years,Minor/spec emphasis,Quite possible,Quite possible,Quite possible,Yes,26-30 students,236.090025602031
21 or more years,Minor/spec emphasis,Quite possible,Quite possible,Quite possible,Yes,26-30 students,237.19554446469
11-20 years,Minor/spec emphasis,Quite possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,233.920589390962
11-20 years,Minor/spec emphasis,Quite possible,Completely possible,Completely possible,Yes,21-25 students,243.73153489991
21 or more years,Minor/spec emphasis,Quite possible,Completely possible,Completely possible,Yes,21-25 students,244.440881521007
11-20 years,Minor/spec emphasis,Quite possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,249.815821011294
11-20 years,Minor/spec emphasis,Completely possible,Completely possible,Completely possible,Yes,21-25 students,245.141599626283
21 or more years,Minor/spec emphasis,Completely possible,Completely possible,Completely possible,Yes,21-25 students,238.561901763122
11-20 years,Minor/spec emphasis,Completely possible,Completely possible,Completely possible,Yes,26-30 students,262.800505320418
21 or more years,Minor/spec emphasis,Completely possible,Completely possible,Completely possible,Yes,26-30 students,237.832711330317
11-20 years,Minor/spec emphasis,Completely possible,Completely possible,Completely possible,Yes,31 or more students,219.930239568988
11-20 years,Minor/spec emphasis,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,257.259741928054
21 or more years,Minor/spec emphasis,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,239.909132856436
6-10 years,Minor/spec emphasis,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,229.341386875467
11-20 years,No,Not at all,Completely possible,Completely possible,Yes,26-30 students,218.689278367902
11-20 years,No,A little possible,Quite possible,Quite possible,Yes,21-25 students,243.17454413444
21 or more years,No,A little possible,Quite possible,Quite possible,Yes,21-25 students,247.871823025268
21 or more years,No,A little possible,Completely possible,Quite possible,Yes,21-25 students,245.644058423723
11-20 years,No,A little possible,Completely possible,Completely possible,Yes,21-25 students,245.483325193646
21 or more years,No,A little possible,Completely possible,Completely possible,Yes,21-25 students,237.358691618142
11-20 years,No,Somewhat possible,Somewhat possible,Somewhat possible,Yes,21-25 students,244.985847444449
21 or more years,No,Somewhat possible,Somewhat possible,Somewhat possible,Yes,21-25 students,251.585797720582
11-20 years,No,Somewhat possible,Somewhat possible,Somewhat possible,Yes,26-30 students,230.363605984097
11-20 years,No,Somewhat possible,Quite possible,Quite possible,Yes,16-18 students,223.580473438357
11-20 years,No,Somewhat possible,Quite possible,Quite possible,Yes,19-20 students,241.806418942736
6-10 years,No,Somewhat possible,Quite possible,Quite possible,Yes,21-25 students,240.996432482359
11-20 years,No,Somewhat possible,Quite possible,Quite possible,Yes,21-25 students,241.727581458914
21 or more years,No,Somewhat possible,Quite possible,Quite possible,Yes,21-25 students,245.9467193992
11-20 years,No,Somewhat possible,Quite possible,Quite possible,Yes,26-30 students,243.03356906155
21 or more years,No,Somewhat possible,Quite possible,Quite possible,Yes,26-30 students,252.67239097954
3-5 years,No,Somewhat possible,Quite possible,Quite possible,No,21-25 students,241.899342459258
11-20 years,No,Somewhat possible,Quite possible,Quite possible,Tenure not awarded,19-20 students,241.914331742879
21 or more years,No,Somewhat possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,243.540079834663
11-20 years,No,Somewhat possible,Completely possible,Quite possible,Yes,21-25 students,243.665848151615
21 or more years,No,Somewhat possible,Completely possible,Quite possible,Yes,21-25 students,247.141706676088
11-20 years,No,Somewhat possible,Completely possible,Completely possible,Yes,16-18 students,247.797706447522
21 or more years,No,Somewhat possible,Completely possible,Completely possible,Yes,16-18 students,246.919170505601
11-20 years,No,Somewhat possible,Completely possible,Completely possible,Yes,19-20 students,233.780203668605
6-10 years,No,Somewhat possible,Completely possible,Completely possible,Yes,21-25 students,245.76521205395
11-20 years,No,Somewhat possible,Completely possible,Completely possible,Yes,21-25 students,242.598067862787
21 or more years,No,Somewhat possible,Completely possible,Completely possible,Yes,21-25 students,245.252391730436
11-20 years,No,Somewhat possible,Completely possible,Completely possible,Yes,26-30 students,244.812054396088
21 or more years,No,Somewhat possible,Completely possible,Completely possible,Yes,26-30 students,243.176475233122
11-20 years,No,Somewhat possible,Completely possible,Completely possible,Yes,31 or more students,235.878511592598
21 or more years,No,Somewhat possible,Completely possible,Completely possible,Yes,31 or more students,237.856652760788
3-5 years,No,Somewhat possible,Completely possible,Completely possible,No,21-25 students,240.957653500206
6-10 years,No,Somewhat possible,Completely possible,Completely possible,No,21-25 students,231.874264070319
11-20 years,No,Somewhat possible,Completely possible,Completely possible,No,21-25 students,249.252158848819
6-10 years,No,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,256.228735021951
11-20 years,No,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,233.934944934873
11-20 years,No,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,251.676118743891
11-20 years,No,Somewhat possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,248.404776026183
11-20 years,No,Quite possible,Somewhat possible,Somewhat possible,Yes,21-25 students,242.032593502711
11-20 years,No,Quite possible,Quite possible,Quite possible,Yes,15 or fewer students,223.134376139249
11-20 years,No,Quite possible,Quite possible,Quite possible,Yes,16-18 students,245.347602821896
11-20 years,No,Quite possible,Quite possible,Quite possible,Yes,19-20 students,246.349534097615
21 or more years,No,Quite possible,Quite possible,Quite possible,Yes,19-20 students,238.431679969528
6-10 years,No,Quite possible,Quite possible,Quite possible,Yes,21-25 students,251.913194971587
11-20 years,No,Quite possible,Quite possible,Quite possible,Yes,21-25 students,241.853536044365
21 or more years,No,Quite possible,Quite possible,Quite possible,Yes,21-25 students,246.611981883831
6-10 years,No,Quite possible,Quite possible,Quite possible,Yes,26-30 students,243.367311457798
11-20 years,No,Quite possible,Quite possible,Quite possible,Yes,26-30 students,240.324382856389
21 or more years,No,Quite possible,Quite possible,Quite possible,Yes,26-30 students,248.071003186271
6-10 years,No,Quite possible,Quite possible,Quite possible,Yes,31 or more students,228.915917890925
21 or more years,No,Quite possible,Quite possible,Quite possible,Yes,31 or more students,242.538207837724
3-5 years,No,Quite possible,Quite possible,Quite possible,No,21-25 students,239.387551929147
6-10 years,No,Quite possible,Quite possible,Quite possible,No,21-25 students,234.565075200885
11-20 years,No,Quite possible,Quite possible,Quite possible,No,21-25 students,241.661702684862
3-5 years,No,Quite possible,Quite possible,Quite possible,No,26-30 students,226.158154914063
11-20 years,No,Quite possible,Quite possible,Quite possible,No,26-30 students,253.239031275821
11-20 years,No,Quite possible,Quite possible,Quite possible,No,31 or more students,240.805778981872
6-10 years,No,Quite possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,246.779529816048
11-20 years,No,Quite possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,246.472762138686
21 or more years,No,Quite possible,Quite possible,Quite possible,Tenure not awarded,21-25 students,250.378755075373
6-10 years,No,Quite possible,Quite possible,Quite possible,Tenure not awarded,26-30 students,253.306498660972
11-20 years,No,Quite possible,Quite possible,Quite possible,Tenure not awarded,26-30 students,247.608029535667
21 or more years,No,Quite possible,Quite possible,Quite possible,Tenure not awarded,26-30 students,242.705780790232
21 or more years,No,Quite possible,Quite possible,Completely possible,Yes,21-25 students,259.40756480649
6-10 years,No,Quite possible,Completely possible,Quite possible,Yes,21-25 students,256.928498097428
11-20 years,No,Quite possible,Completely possible,Quite possible,Yes,21-25 students,235.920990460327
21 or more years,No,Quite possible,Completely possible,Quite possible,Yes,21-25 students,238.698879429704
11-20 years,No,Quite possible,Completely possible,Quite possible,Yes,26-30 students,249.485506740373
21 or more years,No,Quite possible,Completely possible,Quite possible,Yes,26-30 students,260.31635055975
6-10 years,No,Quite possible,Completely possible,Quite possible,No,21-25 students,249.407237970878
11-20 years,No,Quite possible,Completely possible,Quite possible,Tenure not awarded,21-25 students,238.040119049432
21 or more years,No,Quite possible,Completely possible,Quite possible,Tenure not awarded,21-25 students,251.380575684347
11-20 years,No,Quite possible,Completely possible,Quite possible,Tenure not awarded,26-30 students,248.218898940884
11-20 years,No,Quite possible,Completely possible,Completely possible,Yes,16-18 students,226.502504503449
21 or more years,No,Quite possible,Completely possible,Completely possible,Yes,16-18 students,239.964632963669
6-10 years,No,Quite possible,Completely possible,Completely possible,Yes,19-20 students,255.322601484462
11-20 years,No,Quite possible,Completely possible,Completely possible,Yes,19-20 students,256.424156052886
21 or more years,No,Quite possible,Completely possible,Completely possible,Yes,19-20 students,239.997032730971
6-10 years,No,Quite possible,Completely possible,Completely possible,Yes,21-25 students,243.187887261347
11-20 years,No,Quite possible,Completely possible,Completely possible,Yes,21-25 students,245.604768395836
21 or more years,No,Quite possible,Completely possible,Completely possible,Yes,21-25 students,244.660946567735
6-10 years,No,Quite possible,Completely possible,Completely possible,Yes,26-30 students,240.921052552779
11-20 years,No,Quite possible,Completely possible,Completely possible,Yes,26-30 students,252.99389493702
21 or more years,No,Quite possible,Completely possible,Completely possible,Yes,26-30 students,247.693087464548
11-20 years,No,Quite possible,Completely possible,Completely possible,Yes,31 or more students,244.754529853975
21 or more years,No,Quite possible,Completely possible,Completely possible,Yes,31 or more students,246.294281974568
3-5 years,No,Quite possible,Completely possible,Completely possible,No,19-20 students,244.572517466422
3-5 years,No,Quite possible,Completely possible,Completely possible,No,21-25 students,228.567526009514
6-10 years,No,Quite possible,Completely possible,Completely possible,No,21-25 students,251.49262641189
11-20 years,No,Quite possible,Completely possible,Completely possible,No,21-25 students,242.427905221969
3-5 years,No,Quite possible,Completely possible,Completely possible,No,26-30 students,230.434080235094
11-20 years,No,Quite possible,Completely possible,Completely possible,No,26-30 students,231.477007364097
11-20 years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,16-18 students,234.776266012626
6-10 years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,19-20 students,237.176974714177
11-20 years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,19-20 students,248.059691647464
21 or more years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,19-20 students,232.287374769495
6-10 years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,235.229731502792
11-20 years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,239.484045902638
21 or more years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,244.271646177312
11-20 years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,253.00941348143
21 or more years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,250.441135815031
11-20 years,No,Quite possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,236.274104198922
6-10 years,No,Completely possible,Completely possible,Quite possible,No,21-25 students,230.853383780433
11-20 years,No,Completely possible,Completely possible,Completely possible,Yes,15 or fewer students,231.278020265687
21 or more years,No,Completely possible,Completely possible,Completely possible,Yes,15 or fewer students,245.680446730204
11-20 years,No,Completely possible,Completely possible,Completely possible,Yes,16-18 students,251.743490429022
21 or more years,No,Completely possible,Completely possible,Completely possible,Yes,16-18 students,248.801299470278
11-20 years,No,Completely possible,Completely possible,Completely possible,Yes,19-20 students,250.248708175134
21 or more years,No,Completely possible,Completely possible,Completely possible,Yes,19-20 students,249.050977197035
6-10 years,No,Completely possible,Completely possible,Completely possible,Yes,21-25 students,240.454043486948
11-20 years,No,Completely possible,Completely possible,Completely possible,Yes,21-25 students,245.839444798092
21 or more years,No,Completely possible,Completely possible,Completely possible,Yes,21-25 students,248.136955552655
3-5 years,No,Completely possible,Completely possible,Completely possible,Yes,26-30 students,234.875827079053
6-10 years,No,Completely possible,Completely possible,Completely possible,Yes,26-30 students,244.659159757723
11-20 years,No,Completely possible,Completely possible,Completely possible,Yes,26-30 students,244.674943646128
21 or more years,No,Completely possible,Completely possible,Completely possible,Yes,26-30 students,241.069143491912
11-20 years,No,Completely possible,Completely possible,Completely possible,Yes,31 or more students,252.445628577411
21 or more years,No,Completely possible,Completely possible,Completely possible,Yes,31 or more students,245.709659064526
3-5 years,No,Completely possible,Completely possible,Completely possible,No,16-18 students,240.349209181956
11-20 years,No,Completely possible,Completely possible,Completely possible,No,16-18 students,258.701738436188
3-5 years,No,Completely possible,Completely possible,Completely possible,No,19-20 students,238.997176155262
1-2 years,No,Completely possible,Completely possible,Completely possible,No,21-25 students,236.726781122757
3-5 years,No,Completely possible,Completely possible,Completely possible,No,21-25 students,235.269761308201
6-10 years,No,Completely possible,Completely possible,Completely possible,No,21-25 students,238.290369252723
11-20 years,No,Completely possible,Completely possible,Completely possible,No,21-25 students,232.717501175484
3-5 years,No,Completely possible,Completely possible,Completely possible,No,26-30 students,234.204926651123
11-20 years,No,Completely possible,Completely possible,Completely possible,No,26-30 students,238.031519281288
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,15 or fewer students,253.309603256148
21 or more years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,15 or fewer students,248.413692534588
6-10 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,16-18 students,238.895302154845
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,16-18 students,246.340074218475
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,19-20 students,234.013793879404
21 or more years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,19-20 students,252.592811798661
3-5 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,234.759434444838
6-10 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,244.370104525281
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,245.553056555186
21 or more years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,251.868543274166
3-5 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,227.986472041486
6-10 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,239.083639304553
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,241.476403368982
21 or more years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,246.45647508704
3-5 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,246.553819084717
6-10 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,215.622187478676
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,246.3252137339
